date,positive_cases,rolling_average
3/7/20,1,
3/8/20,0,
3/9/20,0,
3/10/20,0,
3/11/20,1,
3/12/20,0,
3/13/20,3,0.71
3/14/20,3,1.00
3/15/20,4,1.57
3/16/20,5,2.29
3/17/20,2,2.57
3/18/20,2,2.71
3/19/20,7,3.71
3/20/20,16,5.57
3/21/20,8,6.29
3/22/20,24,9.14
3/23/20,21,11.43
3/24/20,28,15.14
3/25/20,35,19.86
3/26/20,25,22.43
3/27/20,28,24.14
3/28/20,21,26.00
3/29/20,22,25.71
3/30/20,37,28.00
3/31/20,27,27.86
4/1/20,39,28.43
4/2/20,31,29.29
4/3/20,70,35.29
4/4/20,52,39.71
4/5/20,31,41.00
4/6/20,32,40.29
4/7/20,33,41.14
4/8/20,23,38.86
4/9/20,49,41.43
4/10/20,33,36.14
4/11/20,20,31.57
4/12/20,21,30.14
4/13/20,7,26.57
4/14/20,9,23.14
4/15/20,9,21.14
4/16/20,13,16.00
4/17/20,10,12.71
4/18/20,11,11.43
4/19/20,4,9.00
4/20/20,3,8.43
4/21/20,8,8.29
4/22/20,3,7.43
4/23/20,3,6.00
4/24/20,9,5.86
4/25/20,9,5.57
4/26/20,3,5.43
4/27/20,7,6.00
4/28/20,0,4.86
4/29/20,4,5.00
4/30/20,13,6.43
5/1/20,6,6.00
5/2/20,11,6.29
5/3/20,5,6.57
5/4/20,5,6.29
5/5/20,3,6.71
5/6/20,5,6.86
5/7/20,2,5.29
5/8/20,2,4.71
5/9/20,8,4.29
5/10/20,0,3.57
5/11/20,1,3.00
5/12/20,2,2.86
5/13/20,1,2.29
5/14/20,1,2.14
5/15/20,1,2.00
5/16/20,8,2.00
5/17/20,0,2.00
5/18/20,4,2.43
5/19/20,1,2.29
5/20/20,5,2.86
5/21/20,2,3.00
5/22/20,2,3.14
5/23/20,3,2.43
5/24/20,6,3.29
5/25/20,5,3.43
5/26/20,2,3.57
5/27/20,4,3.43
5/28/20,1,3.29
5/29/20,2,3.29
5/30/20,4,3.43
5/31/20,4,3.14
6/1/20,2,2.71
6/2/20,2,2.71
6/3/20,36,7.29
6/4/20,2,7.43
6/5/20,17,9.57
6/6/20,17,11.43
6/7/20,12,12.57
6/8/20,8,13.43
6/9/20,11,14.71
6/10/20,16,11.86
6/11/20,10,13.00
6/12/20,5,11.29
6/13/20,2,9.14
6/14/20,1,7.57
6/15/20,3,6.86
6/16/20,0,5.29
6/17/20,6,3.86
6/18/20,8,3.57
6/19/20,4,3.43
6/20/20,12,4.86
6/21/20,4,5.29
6/22/20,2,5.14
6/23/20,20,8.00
6/24/20,7,8.14
6/25/20,7,8.00
6/26/20,2,7.71
6/27/20,3,6.43
6/28/20,6,6.71
6/29/20,0,6.43
6/30/20,2,3.86
7/1/20,17,5.29
7/2/20,9,5.57
7/3/20,2,5.57
7/4/20,11,6.71
7/5/20,2,6.14
7/6/20,3,6.57
7/7/20,2,6.57
7/8/20,14,6.14
7/9/20,5,5.57
7/10/20,5,6.00
7/11/20,13,6.29
7/12/20,6,6.86
7/13/20,4,7.00
7/14/20,12,8.43
7/15/20,10,7.86
7/16/20,9,8.43
7/17/20,3,8.14
7/18/20,10,7.71
7/19/20,10,8.29
7/20/20,7,8.71
7/21/20,2,7.29
7/22/20,11,7.43
7/23/20,5,6.86
7/24/20,13,8.29
7/25/20,4,7.43
7/26/20,2,6.29
7/27/20,3,5.71
7/28/20,1,5.57
7/29/20,1,4.14
7/30/20,8,4.57
7/31/20,5,3.43
8/1/20,4,3.43
8/2/20,1,3.29
8/3/20,5,3.57
8/4/20,5,4.14
8/5/20,10,5.43
8/6/20,1,4.43
8/7/20,6,4.57
8/8/20,5,4.71
8/9/20,3,5.00
8/10/20,12,6.00
8/11/20,5,6.00
8/12/20,6,5.43
8/13/20,17,7.71
8/14/20,9,8.14
8/15/20,5,8.14
8/16/20,12,9.43
8/17/20,3,8.14
8/18/20,2,7.71
8/19/20,4,7.43
8/20/20,4,5.57
8/21/20,11,5.86
8/22/20,5,5.86
8/23/20,8,5.29
8/24/20,6,5.71
8/25/20,4,6.00
8/26/20,11,7.00
8/27/20,4,7.00
8/28/20,12,7.14
8/29/20,11,8.00
8/30/20,5,7.57
8/31/20,6,7.57
9/1/20,2,7.29
9/2/20,5,6.43
9/3/20,10,7.29
9/4/20,5,6.29
9/5/20,1,4.86
9/6/20,3,4.57
9/7/20,2,4.00
9/8/20,5,4.43
9/9/20,3,4.14
9/10/20,8,3.86
9/11/20,9,4.43
9/12/20,7,5.29
9/13/20,11,6.43
9/14/20,6,7.00
9/15/20,1,6.43
9/16/20,3,6.43
9/17/20,2,5.57
9/18/20,4,4.86
9/19/20,5,4.57
9/20/20,4,3.57
9/21/20,2,3.00
9/22/20,1,3.00
9/23/20,2,2.86
9/24/20,7,3.57
9/25/20,9,4.29
9/26/20,2,3.86
9/27/20,3,3.71
9/28/20,4,4.00
9/29/20,3,4.29
9/30/20,3,4.43
10/1/20,14,5.43
10/2/20,9,5.43
10/3/20,6,6.00
10/4/20,33,10.29
10/5/20,4,10.29
10/6/20,6,10.71
10/7/20,11,11.86
10/8/20,8,11.00
10/9/20,10,11.14
10/10/20,9,11.57
10/11/20,9,8.14
10/12/20,11,9.14
10/13/20,4,8.86