year,Afghanistan,Azerbaijan,Bhutan,Bosnia,Burma,Burundi,Cameroon,Central African Republic,China,Colombia,Republic of the Congo,Democratic Republic of Congo,Eritrea,Ethiopia,Former Soviet Union,Georgia,Ghana,Guinea,Iran,Iraq,Ivory Coast,Kazakhstan,Kenya,Kosovo,Liberia,Moldova,Nigeria,Unknown,Russia,Rwanda,Somalia,Sri Lanka,Sudan,Syria,Togo,Turkey,Uganda,Uzbekistan,Vietnam
1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,36
1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,78
1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,131
1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,173
1993,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,153
1994,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131
1995,0,0,0,124,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
1996,0,0,0,161,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
1997,0,0,0,238,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
1998,0,0,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,39
1999,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,2,0,0,0,0,0,0,0,0,0,0,0,55
2000,0,0,0,198,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
2001,11,0,0,162,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,9,0,0,0,17
2002,10,0,0,83,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,5
2003,0,18,0,26,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,19,0,8,0,2,0,0,0,0
2004,0,15,0,9,0,12,1,6,0,0,45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,143,0,26,0,1,0,0,0,0
2005,0,0,0,4,0,11,0,1,4,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,8,129,0,18,0,13,0,0,2,5
2006,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,6,1,0,0,0,1,1,0,0,5,0,0,0,42,1,95,1,24,0,0,0,4,53,0
2007,0,0,0,0,0,43,0,0,0,0,10,9,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,26,0,58,0,6,0,0,0,0,0,0
2008,0,0,129,0,71,29,0,0,0,0,0,3,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,5,0,16,0,10,0,0,6,0,0,0
2009,1,0,158,0,40,9,0,0,0,0,0,2,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,86,7,2,0,1,0,0,0,0
2010,0,0,189,0,55,0,0,0,0,0,0,16,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0
2011,0,0,311,0,34,0,0,0,0,0,0,11,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2012,0,0,298,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,0,256,0,17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,1,25,0,3,0,0,0,0,0,0
2014,1,0,173,0,24,0,0,0,0,0,0,15,1,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,47,0,10,0,0,0,0,0,0
2015,0,0,192,0,7,6,0,0,0,0,0,32,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0
2016,0,0,218,0,4,6,0,0,0,0,0,73,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,80,0,0,0,0,0,0,0,0
2017,0,0,88,0,5,0,0,0,0,0,0,48,0,2,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,59,0,1,14,0,0,0,0,0
2018,0,0,54,0,3,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,1,0,1,0,15,8,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0